time,Im,Wm,Fault_type
103.5,7.3925941024397,114.398871214521,"Re"
103.6,7.02299752609633,108.26156971795,"Re"
103.7,6.98640025192657,107.287622432016,"Re"
103.8,7.06742615037295,108.123724405915,"Re"
103.9,7.32868301143866,111.704298170063,"Re"
104,7.17194929561448,108.914887825448,"Re"
104.1,7.15219208758976,108.222638979312,"Re"
104.2,6.96972595052766,105.086551699325,"Re"
104.3,7.18411322759286,107.939712585634,"Re"
104.4,7.17656476259338,107.454829533862,"Re"
104.5,7.1606660402306,106.853534091995,"Re"
104.6,7.47046041396348,111.105119718006,"Re"
104.7,7.44175031918359,110.315927616713,"Re"
104.8,7.12969701872911,105.350314320186,"Re"
104.9,7.32868285604026,107.948717203748,"Re"
105,7.32368622198488,107.540768850655,"Re"
105.1,7.34345808169195,107.503047522397,"Re"
105.2,7.65132814964785,111.675634890695,"Re"
105.3,7.37428803167753,107.316774053575,"Re"
105.4,7.07054071101192,102.600683170807,"Re"
105.5,7.30899119479212,105.761862851985,"Re"
105.6,7.52342194733849,108.56371807772,"Re"
105.7,7.54254711469626,108.544604781855,"Re"
105.8,7.50983812521904,107.786571120118,"Re"
105.9,7.50202655493801,107.393785720594,"Re"
106,7.11078215903714,101.532867817495,"Re"
106.1,7.41962639213373,105.677354148675,"Re"
106.2,7.32525763467895,104.077041903734,"Re"
106.3,7.52010119463904,106.588174822075,"Re"
106.4,7.60844507986087,107.585898368603,"Re"
106.5,7.34724834394077,103.65223921199,"Re"
106.6,7.3797508207724,103.874813804356,"Re"
106.7,7.54977632116473,106.031995659636,"Re"
106.8,7.5999708191784,106.504609165517,"Re"
106.9,7.52492561669888,105.227995126923,"Re"
107,7.52606986914536,105.024001363637,"Re"
107.1,7.49927706675322,104.435756436055,"Re"
107.2,7.54175371212625,104.816484898233,"Re"
107.3,7.39920500949698,102.633069268138,"Re"
107.4,7.88948186226967,109.222721626711,"Re"
107.5,7.48554350982934,103.434880904523,"Re"
107.6,7.7831928933419,107.348807647078,"Re"
107.7,7.64918328918619,105.309247874663,"Re"
107.8,7.497701709198,103.040405037701,"Re"
107.9,7.56340283497624,103.76244980905,"Re"
108,7.63065953067828,104.506660560107,"Re"
108.1,7.53975432696368,103.089164448087,"Re"
108.2,7.73313445841376,105.560160245111,"Re"
108.3,7.7908352385517,106.177277956072,"Re"
108.4,7.39823962070387,100.668406810141,"Re"
108.5,7.54287809683673,102.478554585685,"Re"
108.6,7.77040465263037,105.410586100325,"Re"
108.7,7.39780155610428,100.207742555195,"Re"
108.8,7.37482482103717,99.7519449183601,"Re"
108.9,7.54042010322482,101.84719219559,"Re"
109,7.508386903533,101.273670932967,"Re"
109.1,7.68703495898793,103.542212683587,"Re"
109.2,7.69298861909067,103.484282089507,"Re"
109.3,7.4646555277615,100.281676504734,"Re"
109.4,7.41218209393417,99.449354668938,"Re"
109.5,7.64054186144451,102.384791915946,"Re"
109.6,7.64476016743166,102.315554381073,"Re"
109.7,7.64036002455711,102.133685038169,"Re"
109.8,7.49626044215711,100.089353737274,"Re"
109.9,7.80841053424511,104.13682702225,"Re"
110,7.5999895241344,101.24262875748,"Re"
110.1,7.54393696602972,100.384628118416,"Re"
110.2,7.51167593593167,99.8468977172636,"Re"
110.3,7.70862585296161,102.355903011701,"Re"
110.4,7.74490234270066,102.730523074544,"Re"
110.5,7.64264892197594,101.270821048269,"Re"
110.6,8.01338488758343,106.077272766353,"Re"
110.7,7.42065082886338,98.1348205447347,"Re"
110.8,7.61350670787344,100.588736985953,"Re"
110.9,7.85540721922853,103.687242308792,"Re"
111,7.56374688454493,99.7456468026806,"Re"
111.1,7.7556064813416,102.183611054678,"Re"
111.2,7.55115842869216,99.4021067798507,"Re"
111.3,7.84102323624633,103.128599418157,"Re"
111.4,7.62897804791098,100.254714082428,"Re"
111.5,7.61180377155134,99.9460445029176,"Re"
111.6,7.57362652296944,99.3639573714374,"Re"
111.7,7.69818964150627,100.917805090833,"Re"
111.8,8.01939663439856,105.046639104087,"Re"
111.9,7.53666625988651,98.6479278549198,"Re"
112,7.84884942811059,102.65726558338,"Re"
112.1,7.47731909625681,97.7262600569804,"Re"
112.2,7.62768540556292,99.6199523639947,"Re"
112.3,7.57466372290237,98.8579264907541,"Re"
112.4,7.81664535402938,101.945812475244,"Re"
112.5,7.55976937567921,98.529097788033,"Re"
