time,Im,Wm,Fault_type
191.6,13.4937142244044,123.885271932197,"Im"
191.7,13.4051055664512,123.071759247437,"Im"
191.8,13.3418311405835,122.490839174238,"Im"
191.9,13.6084187136479,124.93836944156,"Im"
192,13.5681412488143,124.568583584185,"Im"
192.1,13.4103630993094,123.12002845464,"Im"
192.2,13.1858105239862,121.058419886802,"Im"
192.3,13.2251475698515,121.419571793756,"Im"
192.4,13.328183168406,122.365537665965,"Im"
192.5,13.5166523113307,124.095865627099,"Im"
192.6,13.974025420031,128.294990568054,"Im"
192.7,13.3902319383739,122.935205039431,"Im"
192.8,13.0023580629662,119.374149889518,"Im"
192.9,13.3225925152707,122.314210094294,"Im"
193,12.9714417472752,119.090308382811,"Im"
193.1,13.0781156860067,120.069677716418,"Im"
193.2,13.7575021365492,126.307098620166,"Im"
193.3,13.030610082195,119.633530592754,"Im"
193.4,13.3058290875649,122.160305708496,"Im"
193.5,13.9983760382068,128.518552658095,"Im"
193.6,13.2801776594081,121.92480093199,"Im"
193.7,13.3440945402115,122.511619359274,"Im"
193.8,13.3856073770608,122.892747119669,"Im"
193.9,13.9166927987533,127.768621974541,"Im"
194,13.6251374101281,125.091863151695,"Im"
194.1,13.526544407906,124.186684585752,"Im"
194.2,13.555934347257,124.456512489917,"Im"
194.3,13.3009488100593,122.115500068193,"Im"
194.4,13.1933683520292,121.12780801573,"Im"
194.5,13.3703535861859,122.752702651622,"Im"
194.6,13.3116401610816,122.21365695122,"Im"
194.7,13.3501976475245,122.567651753063,"Im"
194.8,13.4790611805831,123.750742899772,"Im"
194.9,12.8682043776115,118.1424900578,"Im"
195,13.4555234067492,123.534643502408,"Im"
195.1,13.5817150166912,124.693203825626,"Im"
195.2,13.1865107663353,121.064848784909,"Im"
195.3,13.5524025667442,124.424087348702,"Im"
195.4,13.8082332367464,126.772858902238,"Im"
195.5,12.7947593327722,117.468193922527,"Im"
195.6,13.3458735533775,122.52795241081,"Im"
195.7,13.7787287957038,126.501979762441,"Im"
195.8,13.295773779411,122.06798831061,"Im"
195.9,12.9905552884568,119.265789070151,"Im"
196,13.4850186594636,123.805438284516,"Im"
196.1,13.490150392014,123.852552523926,"Im"
196.2,13.5633018691819,124.524153425685,"Im"
196.3,13.5573262770183,124.469291743584,"Im"
196.4,13.3896176144253,122.929564954859,"Im"
196.5,13.2657165056046,121.792033634446,"Im"
196.6,13.1814611584778,121.018488529151,"Im"
196.7,13.1862318468958,121.06228803625,"Im"
196.8,13.1012270995946,120.281862716742,"Im"
196.9,13.6178048667484,125.024543352606,"Im"
197,13.5764372460819,124.644748816407,"Im"
197.1,13.225388996284,121.421788320558,"Im"
197.2,13.3324402886924,122.404622123776,"Im"
197.3,12.8462584129685,117.941004999469,"Im"
197.4,13.1313096950585,120.558049870071,"Im"
197.5,13.0368873098292,119.691161578523,"Im"
197.6,12.7011676192882,116.608931996363,"Im"
197.7,13.005806530606,119.405810138446,"Im"
197.8,13.3741742399705,122.787779927247,"Im"
197.9,13.5840040665385,124.71421950434,"Im"
198,12.8939028161686,118.378426434986,"Im"
198.1,13.1394432481546,120.632723708595,"Im"
198.2,13.305136049292,122.153942950736,"Im"
198.3,13.5063863596953,124.001614319502,"Im"
198.4,13.498364872323,123.927969352083,"Im"
198.5,13.3121646827214,122.218472564245,"Im"
198.6,13.0418113927863,119.736369394994,"Im"
198.7,13.75236679514,126.259951247963,"Im"
198.8,13.4569448397272,123.547693623974,"Im"
198.9,13.7207037820284,125.969254340922,"Im"
199,13.3090584178611,122.18995406589,"Im"
199.1,13.1695454249447,120.909090637327,"Im"
199.2,13.3184916807666,122.276560490246,"Im"
199.3,13.5275783495694,124.196177164444,"Im"
199.4,13.3929735307582,122.960375493793,"Im"
199.5,13.0424269448008,119.742020754392,"Im"
199.6,13.4524442837213,123.506374192173,"Im"
199.7,13.1430622513089,120.66594963753,"Im"
199.8,13.2840446169751,121.960303320863,"Im"
199.9,13.2935972590123,122.048005760441,"Im"
200,13.2790604883343,121.914544227278,"Im"
200.1,13.3336556257743,126.01624420704,"Im"
200.2,12.7574851579225,124.224525467555,"Im"
200.3,11.8812521460188,119.307693239648,"Im"
200.4,12.2084241543306,126.547663260252,"Im"
200.5,11.6476845632167,124.759768616237,"Im"
200.6,10.7171860417379,118.751467833405,"Im"
200.7,10.9606337107413,125.786446305923,"Im"
200.8,10.5812479876343,125.930040567624,"Im"
200.9,9.43190941279349,116.568843449879,"Im"
201,9.66217456565551,124.191274919756,"Im"
201.1,9.66451707678172,124.221384026283,"Im"
201.2,9.82907714701877,126.336531582845,"Im"
201.3,9.44542209148668,121.405280325463,"Im"
201.4,10.0074939437392,128.629784442359,"Im"
201.5,9.71019155589059,124.808453919637,"Im"
201.6,9.24000116942488,118.764934093598,"Im"
201.7,9.39253029332459,120.725443731545,"Im"
201.8,9.4408266879556,121.346214012862,"Im"
201.9,9.27636306822432,119.232306168043,"Im"
202,9.50043818508854,122.112421224138,"Im"
202.1,9.67076986298383,124.301753252171,"Im"
202.2,9.41857380152192,121.06018995916,"Im"
202.3,9.30950699798177,119.658316572271,"Im"
202.4,9.61488204108639,123.583407727904,"Im"
202.5,9.48711242692812,121.941140640873,"Im"
202.6,9.73490019819898,125.126042653825,"Im"
202.7,9.67543489551519,124.361714530419,"Im"
202.8,9.78071939326315,125.714972631456,"Im"
202.9,9.53963876809698,122.616279889528,"Im"
203,9.61883760584348,123.634249971218,"Im"
203.1,9.49798845242746,122.080933962102,"Im"
203.2,9.71754085792275,124.902917043123,"Im"
203.3,9.21243984469274,118.410678844564,"Im"
203.4,9.3388642541807,120.035655550232,"Im"
203.5,9.27574072872258,119.224307022962,"Im"
203.6,9.66802388512926,124.266458248097,"Im"
203.7,9.37237440333763,120.466373099193,"Im"
203.8,9.57230339666519,123.036129669627,"Im"
203.9,9.21980943809753,118.505402780089,"Im"
204,9.9109299788673,127.388614369591,"Im"
204.1,9.24776849075648,118.864770163866,"Im"
204.2,9.36392434162471,120.357761530426,"Im"
204.3,9.31875273469242,119.777155227261,"Im"
204.4,9.3785323667259,120.545523534626,"Im"
204.5,9.46335119694005,121.63572932525,"Im"
204.6,9.64316878026625,123.946986979986,"Im"
204.7,9.06956897883602,116.574310141115,"Im"
204.8,9.7484749227795,125.300523288685,"Im"
204.9,9.64970680663398,124.031022496479,"Im"
205,9.40608137253468,120.899620444272,"Im"
205.1,9.30423366897635,119.590536648838,"Im"
205.2,9.54517259737381,122.687408113139,"Im"
205.3,9.40317902318982,120.862315543295,"Im"
205.4,9.46084239143395,121.603482779484,"Im"
205.5,9.4246382098799,121.138137899398,"Im"
