time,Im,Wm,Fault_type
51.6,9.39178443412713,120.715306395412,"Rm"
51.7,9.4732403471788,121.762296827282,"Rm"
51.8,9.35753726603859,120.275145302011,"Rm"
51.9,9.48758203041054,121.946661905611,"Rm"
52,9.42562642910157,121.150341506887,"Rm"
52.1,9.74342268535027,125.235083144161,"Rm"
52.2,9.44396393107335,121.38606392752,"Rm"
52.3,9.30997036773879,119.663816908797,"Rm"
52.4,9.60804437876029,123.49506276973,"Rm"
52.5,9.2962536803406,119.487535139603,"Rm"
52.6,9.57201879271389,123.032038127303,"Rm"
52.7,9.81992060258469,126.218406026576,"Rm"
52.8,9.58356152400531,123.180422166537,"Rm"
52.9,9.70740556239162,124.7722377837,"Rm"
53,9.59300195453697,123.301783644193,"Rm"
53.1,9.47373248086645,121.768786537877,"Rm"
53.2,9.78718445290578,125.79769071115,"Rm"
53.3,9.21958687521899,118.502193658799,"Rm"
53.4,10.1171224404658,130.03850484758,"Rm"
53.5,9.58983312988608,123.261101204278,"Rm"
53.6,9.68175787261417,124.442647306704,"Rm"
53.7,9.47210818674511,121.747963087153,"Rm"
53.8,9.33517459160898,119.987920957795,"Rm"
53.9,9.19630822679186,118.203035891494,"Rm"
54,9.82333193016626,126.262376446832,"Rm"
54.1,9.27214647558629,119.177823810617,"Rm"
54.2,9.39960892033946,120.816146189797,"Rm"
54.3,9.51664528750676,122.320458897906,"Rm"
54.4,9.33878123971895,120.034322853486,"Rm"
54.5,9.58864895749349,123.245958983637,"Rm"
54.6,9.55999330211499,122.87764547417,"Rm"
54.7,9.41838696581208,121.05754051881,"Rm"
54.8,9.64157430456701,123.926245249734,"Rm"
54.9,9.34842189393571,120.158269456519,"Rm"
55,9.42363485685747,121.125011834457,"Rm"
55.1,9.70967184371905,124.801543318808,"Rm"
55.2,9.58044723157577,123.14058350603,"Rm"
55.3,9.63142404313585,123.795810615407,"Rm"
55.4,9.80052186080625,125.969285230836,"Rm"
55.5,9.64031967319353,123.910159968901,"Rm"
55.6,9.53140379289701,122.510233986043,"Rm"
55.7,9.61156810237209,123.540617050008,"Rm"
55.8,9.67715287307317,124.38360449723,"Rm"
55.9,9.21490346302356,118.442166606967,"Rm"
56,9.51579092382192,122.309576186817,"Rm"
56.1,9.31800774691543,119.767408730727,"Rm"
56.2,9.66436517778259,124.219258870593,"Rm"
56.3,9.73265070628171,125.096959623833,"Rm"
56.4,9.7704560279081,125.582888191115,"Rm"
56.5,9.38106911548415,120.577974061385,"Rm"
56.6,9.45578220097471,121.538289967377,"Rm"
56.7,9.78003381063465,125.706006959888,"Rm"
56.8,9.59258205693899,123.296631456229,"Rm"
56.9,9.48464506722244,121.909285311112,"Rm"
57,9.52004038474129,122.364236673875,"Rm"
57.1,9.58654218330579,123.219009900749,"Rm"
57.2,9.70647220444625,124.760513790676,"Rm"
57.3,9.46550126085848,121.66323748233,"Rm"
57.4,9.39863333316018,120.803764979752,"Rm"
57.5,9.56713619816031,122.969591630559,"Rm"
57.6,9.58945060650622,123.256409284845,"Rm"
57.7,9.54355870668513,122.666548408357,"Rm"
57.8,9.68311591113564,124.460326776061,"Rm"
57.9,10.0429710625144,129.085668397111,"Rm"
58,9.7792016133286,125.695354256995,"Rm"
58.1,9.30613015329227,119.614810971517,"Rm"
58.2,9.47589481676073,121.796855752259,"Rm"
58.3,9.20127284471633,118.267049896458,"Rm"
58.4,9.38246402472238,120.595963467293,"Rm"
58.5,9.7784609528678,125.685847600023,"Rm"
58.6,9.86228119602239,126.763219859312,"Rm"
58.7,9.99723680558914,128.497852186207,"Rm"
58.8,9.39859034094715,120.803249770342,"Rm"
58.9,9.71726982059373,124.899346806611,"Rm"
59,9.44457702306063,121.394336438889,"Rm"
59.1,9.81470277802237,126.151689871353,"Rm"
59.2,9.77373435949482,125.625111056333,"Rm"
59.3,9.48187695838777,121.873771228787,"Rm"
59.4,9.09938695651187,116.957499742149,"Rm"
59.5,9.53866227809044,122.603656001291,"Rm"
59.6,9.32046421201913,119.79908418864,"Rm"
59.7,9.34711632171116,120.141654554119,"Rm"
59.8,9.47005815295246,121.721869333429,"Rm"
59.9,9.26336302473228,119.06514841308,"Rm"
60,9.87190347861214,126.886927100863,"Rm"
60.1,9.50532547247184,122.175177151548,"Rm"
60.2,9.40000512532742,120.821460518121,"Rm"
60.3,9.53947013641086,122.614053250828,"Rm"
60.4,9.24935664862577,118.885127410661,"Rm"
60.5,9.77720001827845,125.669679306329,"Rm"
60.6,9.42825249484945,121.184539445788,"Rm"
60.7,9.62792740831721,123.751030502291,"Rm"
60.8,9.51841509288301,122.34343276618,"Rm"
60.9,9.2488205502893,118.878243525734,"Rm"
61,9.37072978060474,120.445185691387,"Rm"
61.1,9.57915548979399,123.124153677505,"Rm"
61.2,9.72497698054629,124.998448299099,"Rm"
61.3,9.62082180349956,123.659707465404,"Rm"
61.4,9.6995668900112,124.671846132469,"Rm"
61.5,9.3792325763955,120.554480905109,"Rm"
61.6,9.83905444220427,126.464729594468,"Rm"
61.7,9.96483179707318,128.081390051507,"Rm"
61.8,9.77015753882315,125.579176327191,"Rm"
61.9,9.28015165449612,119.280964105424,"Rm"
62,9.63603353577777,123.85523668618,"Rm"
62.1,9.62254312631225,123.681840817249,"Rm"
62.2,9.45608901951892,121.542350140719,"Rm"
62.3,9.53769186459019,122.591220374091,"Rm"
62.4,9.42648380566531,121.161825990927,"Rm"
62.5,9.59514425967253,123.329677473446,"Rm"
62.6,9.57337637619792,123.049888264641,"Rm"
62.7,9.69210318827473,124.575925525134,"Rm"
62.8,9.57173247732769,123.028760318562,"Rm"
62.9,9.55380032359452,122.798272988418,"Rm"
63,9.60429321729507,123.447276248545,"Rm"
63.1,9.47010033633758,121.722449849396,"Rm"
63.2,9.2071977723183,118.343273669761,"Rm"
63.3,9.65528926022464,124.102748109162,"Rm"
63.4,9.48701210847369,121.939824789081,"Rm"
63.5,9.58188113447764,123.159209641787,"Rm"
63.6,9.70916866095498,124.795280615183,"Rm"
63.7,9.43633397567542,121.288443302651,"Rm"
63.8,9.32652325204214,119.877008949084,"Rm"
63.9,9.15641230523177,117.690515067692,"Rm"
64,9.36834300324976,120.414533769485,"Rm"
64.1,9.77412840926027,125.630233709817,"Rm"
64.2,9.56245645239331,122.909541822092,"Rm"
64.3,9.68116182371285,124.435303347825,"Rm"
64.4,9.85578892196253,126.67984606992,"Rm"
64.5,9.45219473422562,121.492311629676,"Rm"
64.6,9.68575992880604,124.494405968225,"Rm"
64.7,9.88341925931428,127.03498988751,"Rm"
64.8,9.31097305888173,119.677142294011,"Rm"
64.9,9.33906525591627,120.038221435931,"Rm"
65,9.49484838269029,122.040556062479,"Rm"
65.1,9.58818316463125,123.240220607392,"Rm"
65.2,9.3676263715038,120.40532860923,"Rm"
65.3,9.40790202264977,120.923005846761,"Rm"
65.4,9.10086114788587,116.97650409928,"Rm"
65.5,9.22574670497761,118.58170158558,"Rm"
65.6,9.57158305657951,123.026855782828,"Rm"
65.7,9.87149571473615,126.881736937323,"Rm"
65.8,9.42943700955075,121.199804400054,"Rm"
65.9,9.94603716770291,127.839844695207,"Rm"
66,9.48830829289652,121.956498014747,"Rm"
66.1,9.36027466126273,120.310837941536,"Rm"
66.2,9.70810772197054,124.781656557954,"Rm"
66.3,9.30822555735939,119.641833510698,"Rm"
66.4,9.96419211585785,128.073198265564,"Rm"
66.5,9.40416149695977,120.874931854315,"Rm"
66.6,9.50784697679146,122.207637397929,"Rm"
66.7,9.55035899945679,122.754059388654,"Rm"
66.8,9.27897501613997,119.265867696218,"Rm"
66.9,9.70341906241839,124.721393768534,"Rm"
67,9.50160102504327,122.127357161879,"Rm"
67.1,9.96516364248074,128.085687747535,"Rm"
67.2,9.33231124822206,119.951417751615,"Rm"
67.3,9.55401615254301,122.801067668063,"Rm"
67.4,9.33599129542055,119.998719159128,"Rm"
67.5,9.41203420778253,120.976125201695,"Rm"
67.6,9.51596399454003,122.311970867301,"Rm"
67.7,9.50133870666887,122.123987220575,"Rm"
67.8,9.36790175417384,120.40887621334,"Rm"
67.9,9.6301422658264,123.779544287229,"Rm"
68,10.0663887898723,129.386771741006,"Rm"
68.1,9.48071196625378,121.858865457295,"Rm"
68.2,9.54333801396045,122.663819880283,"Rm"
